Word,Count
},22
{,19
from,19
import,18
:,16
the,14
}),13
/>,11
service,10
to,10
worker,9
is,9
});,9
a,8
this.setState({,8
on,8
\127.0.0.1:8000/event/api/Events/get_event_attendees/',{\,7
=,7
.then(res,6
=>,6
=>{,6
\127.0.0.1:8000/comment/api/Comments/get_comments/`,{\,6
<IconText,6
\127.0.0.1:8000/event/api/Events/get_event_registrations/',{\,5
page,5
\127.0.0.1:8000/user/api/Users/get_user_event/',{\,5
,5
updated,5
.catch();,5
\},\,5
if,5
\127.0.0.1:8000/user/api/Users/get_user_events/',{\,4
127.0.0.1:8000/user/api/Requests/get_requests/';,4
</Form.Item>,4
\formData,{\,4
and,4
localhost,4
value:,4
\4,\,4
\'JazzCash',\,4
event:,4
this,4
\127.0.0.1:8000/event/api/Images/add_images/',\,4
</b>,4
label:,4
be,4
This,4
<Button,4
const,4
}},4
<div>,4
row,4
eventID,4
are,4
click,4
Cannot,3
res.data,3
</div>,3
\127.0.0.1:8000/event/api/Events/get_event/',{\,3
app,3
that,3
\127.0.0.1:8000/event/api/Events/delete_event/',{\,3
user,3
\127.0.0.1:8000/user/api/Users/get_user/',{\,3
for,3
\true,\,3
of,3
events:,3
required:,3
height={300},3
axios,3
\127.0.0.1:8000/notification/api/Notifications/get_notifications/',{\,3
\,\,3
rules:,3
\127.0.0.1:8000/event/api/Events/get_event_payments/',{\,3
style={{,3
message:,3
'axios';,3
\127.0.0.1:8000/event/api/Events/update_event/',{\,3
<Form.Item,3
offline,3
it,3
[{,3
(,3
not,3
\/>,\,3
width={270},3
\Photos"\,\,3
in,3
'Please,3
\[],\,3
found,3
/>)},3
componentDidMount(){,3
\}],\,3
all,3
been,3
127.0.0.1:8000${item.image}`},3
you,3
\type="\message"\\,2
min={1},2
127.0.0.1:8000/event/api/Events/get_type_events/';,2
CustomLayout2,2
width={272},2
subsequent,2
\{getFieldDecorator('number_of_tickets',\,2
register,2
precached,2
still,2
CustomLayout3,2
e,2
cached,2
learn,2
by,2
can,2
callback,2
127.0.0.1:8000/event/api/Events/get_admin_events_happening_today/'),2
event,2
marginRight:,2
'./containers/App2';,2
see,2
\'CreditCard',\,2
serve,2
\key="\list-vertical-message"\\,2
\method:values.method,\,2
\127.0.0.1:8000/user/api/Requests/disapprove_request/',{\,2
\127.0.0.1:8000/attendee/api/Attendees/add_attendees/',{\,2
\label="\Select\,2
\type="\star-o"\\,2
127.0.0.1:8000/event/api/Events/get_admin_events/'),2
\127.0.0.1:8000/user/api/Requests/approve_request/',{\,2
127.0.0.1:8000/user/api/OrganizerRequests/get_requests/';,2
will,2
127.0.0.1:8000/event/api/Events/get_admin_events_happened/'),2
<img,2
\type="\primary"\><Link\,2
Badge,2
'./containers/Layout2';,2
images3:,2
\key="\list-vertical-star-o"\\,2
\type="\like-o"\\,2
developers,2
work,2
more,2
\key="\list-vertical-like-o"\\,2
\btnText:"\See\,2
used,2
127.0.0.1:8000/user/api/Users/get_user_events_category/';,2
else{,2
);,2
