File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\USAMA\Desktop\FYP2\event_hub\src\App.js,43,36,20,3,6,0,1,4,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\App2.js,40,33,18,3,6,0,1,4,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\App3.js,40,33,18,3,6,0,1,4,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\App4.js,39,33,18,3,6,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\index.js,28,19,15,0,4,0,5,36,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\routes.js,66,64,62,0,1,0,1,4,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\routes2.js,20,19,17,0,1,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\routes3.js,20,19,17,0,1,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\routes4.js,22,21,19,0,1,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\serviceWorker.js,138,94,60,10,13,2,31,277,9,89
C:\Users\USAMA\Desktop\FYP2\event_hub\src\setupTests.js,6,1,1,0,1,0,4,20,4,20
C:\Users\USAMA\Desktop\FYP2\event_hub\src\components\ActivateUser.js,47,43,19,1,4,1,0,1,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\components\AdminEvents.js,128,126,46,4,2,1,0,1,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\components\AdminEventsA.js,123,121,45,4,2,1,0,1,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\components\AdminEventsH.js,139,137,47,4,2,1,0,1,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\components\AdminEventsHT.js,131,129,46,4,2,1,0,1,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\components\AdminOrganizers.js,133,132,46,4,1,2,0,3,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\components\Admins.js,135,132,46,4,3,1,0,1,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\components\AdminUsers.js,110,107,42,4,3,1,0,1,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\components\Attendence.js,48,45,20,1,3,1,0,1,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\components\AttendencePage.js,146,146,79,9,0,2,0,2,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\components\Comments.js,68,65,33,4,3,2,0,2,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\components\EditProfile.js,110,107,56,5,3,2,0,2,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\components\Event.js,136,72,47,1,3,2,61,112,0,0
